eNB,TotCell Intervals,Context Drop Rate Den,Context Drop Rate Num,MaxNum VoIP Bear Per Cell,Context Drop NoDS1noEPC Rate Num,Context Drop NoDS1noEPC Rate Den,Context Drop NoDS1noEPC Rate,Data ERAB Drop Rate Num,Data ERAB Drop Rate Den,Data ERAB Drop Rate,Data ERAB Drop NoDS1noSGW Rate Num,Data ERAB Drop NoDS1noSGW Rate Den,Data ERAB Drop NoDS1noSGW Rate,RRC Connection Failure Rate Num,RRC Connection Failure Rate Den,RRC Connection Failure Rate,UE Context Setup Failure Rate Num,UE Context Setup Failure Rate Den,UE Context Setup Failure Rate,Data ERAB Setup Failure Rate Num,Data ERAB Setup Failure Rate Den,Data ERAB Setup Failure Rate,Ave RRC Connected Users Num,Ave RRC Connected Users Den,Ave RRC Connected Users,Max RRC Connected Users,DLBurst User TPUT Mbps Num,DLBurst User TPUT Mbps Den,DLBurst User TPUT Mbps,ULBurst User TPUT Mbps Num,ULBurst User TPUT Mbps Den,ULBurst User TPUT Mbps,Intra eNB Total HOFailure Rate Num,Intra eNB Total HOFailure Rate,Intra eNB Total HOFailure xIFLB Rate Num,Intra eNB Total HOFailure xIFLB Rate,X2 Total Handover Failure Rate Num,X2 Total Handover Failure Rate Den,X2 Total Handover Failure Rate,X2 Total Handover Failure 15 1 Rate Num,X2 Total Handover Failure 15 1 Rate Den,X2 Total Handover Failure 15 1 Rate,S1 interface Handover Failure Rate Num,VoLTE ERAB Setup Failure Rate Num,VoLTE ERAB Setup Failure Rate,VoLTE ERAB Drop Rate Num,VoLTE ERAB Drop Rate Den,VoLTE ERAB Drop Rate,VoLTE ERAB Drop NoDS1noPS Rate Num,VoLTE ERAB Drop NoDS1noPS Rate Den,VoLTE ERAB Drop NoDS1noPS Rate,VoLTE HO Failure Rate Num,VoLTE HO Failure Rate Den,AveNum VoIP Bear Per Cell Num,AveNum VoIP Bear Per Cell,Context Drop Rate
136074_BUCH,24,13188,7,0.197777778,3,13188,0.0002,13,25517,0.0005,6,25517,0.0002,6,12956,0.0005,2,12645,0.0002,4,25521,0.0002,128956,21600,5.97,83,15069168,1190253,12.66,871336,735938,1.18,0,0,0,0,0,171,0,0,171,0,0,0,0,0,1,0,0,1,0,0,8,8,0.01,0.0005
136074_BUCH,24,13906,15,0.373333333,6,13906,0.0004,26,26496,0.001,8.000114059,26496,0.0003,4,13636,0.0003,0,13199,0,1,26495,0,140156,21600,6.49,89,12099680,1074714,11.26,816640,1088284,0.75,0,0,0,0,2,226,0.0088,5,226,0.0221,0,0,0,0,5,0,0,5,0,0,14,22,0.02,0.0011
136074_BUCH,24,16364,40,0.964444444,2,16364,0.0001,53,30359,0.0017,2.883681786,30359,0.0001,11,15745,0.0007,2,15134,0.0001,4,30363,0.0001,167017,21600,7.73,102,16493784,1501566,10.98,1517056,1433799,1.06,0,0,0,0,1,511,0.002,3,511,0.0059,0,0,0,0,9,0,0,9,0,0,26,58,0.01,0.0024
136074_BUCH,24,21776,47,1.76,7,21776,0.0003,77,38459,0.002,4.991106749,38459,0.0001,6,20297,0.0003,5,19070,0.0003,14,38473,0.0004,232736,21600,10.77,136,32929416,3563156,9.24,3167696,3300115,0.96,0,0,0,0,0,1256,0,6,1256,0.0048,0,0,0,2,47,0.0426,0,47,0,10,51,192,0.02,0.0022
136074_BUCH,24,28647,56,3.957777778,13,28647,0.0005,103,47890,0.0022,20.52094491,47890,0.0004,19,25327,0.0008,6,23636,0.0003,9,47897,0.0002,321724,21600,14.89,171,50635096,8046064,6.29,4551488,6293333,0.72,5,0.0111,5,0.0111,3,2829,0.0011,21,2829,0.0074,0,0,0,1,130,0.0077,0,130,0,21,102,436,0.01,0.002
136074_BUCH,24,26506,99,4.478888889,21,26506,0.0008,174,44438,0.0039,19.28827156,44438,0.0004,20,23537,0.0008,8,21960,0.0004,16,44454,0.0004,348541,21600,16.14,186,57218352,11455823,4.99,6587368,8456457,0.78,1,0.0021,1,0.0023,5,2483,0.002,13,2483,0.0052,0,0,0,3,159,0.0189,0,159,0,35,135,492,0.01,0.0037
136074_BUCH,24,27532,87,5.488888889,22,27532,0.0008,222,47145,0.0047,89.29483892,47145,0.0019,22,24626,0.0009,8,23110,0.0003,13,47157,0.0003,360304,21600,16.68,184,52051008,10758381,4.84,5959832,8639198,0.69,1,0.0021,2,0.0051,12,2384,0.005,27,2384,0.0113,0,0,0,4,176,0.0227,2,176,0.0114,18,133,506,0.01,0.0032
136074_BUCH,24,26040,75,8.64,22,26040,0.0008,301,44058,0.0068,193.9242728,44058,0.0044,20,23389,0.0009,3,21810,0.0001,6,44064,0.0001,347498,21600,16.09,186,48529440,10012743,4.85,8123680,10213238,0.8,0,0,0,0,2,2170,0.0009,16,2170,0.0074,0,0,0,0,194,0,0,194,0,15,151,492,0.01,0.0029
136074_BUCH,24,25922,107,4.941111111,24,25922,0.0009,197,43008,0.0046,34.68308998,43008,0.0008,16,22816,0.0007,9,21413,0.0004,14,43022,0.0003,352638,21600,16.33,180,50756496,9252035,5.49,5792640,10028547,0.58,1,0.0023,1,0.0024,8,2603,0.0031,18,2603,0.0069,0,0,0,4,215,0.0186,0,215,0,20,137,528,0.01,0.0041
136074_BUCH,24,25971,105,5.827777778,21,25971,0.0008,187,43065,0.0043,23.91482584,43065,0.0006,24,22793,0.0011,9,21280,0.0004,15,43080,0.0003,352488,21600,16.32,188,77633840,20247334,3.83,6813288,10041778,0.68,1,0.0021,1,0.0022,2,2625,0.0008,16,2625,0.0061,0,0,0,7,196,0.0357,0,196,0,16,148,547,0.01,0.004
